post_title,post_link,post_type,posted_by,created_date,audience,impressions,views,clicks,click_through_rate_(ctr),likes,comments,reposts,engagement_rate
"We are so excited as well Anna Islamova!
🚀 REGISTRATION IS NOW OPEN! 🚀

Our Mentorship and Networking Committee, Knowledge Circles For Impact (KC4I) has announced applications are now being accepted for 𝗧𝗵𝗲 𝗔𝗜 𝗟𝗲𝗮𝗱𝗲𝗿𝘀𝗵𝗶𝗽 𝗮𝗻𝗱 𝗦𝗵𝗮𝗽𝗶𝗻𝗴 𝘁𝗵𝗲 𝗙𝘂𝘁𝘂𝗿𝗲 learning experience! 

Register by April 23rd to secure your spot. Sign up today (link in the comments section)! 

🌟 Program Schedule 🌟
Session 1: Circle Kick-Off: Setting the Stage for Success 
Session 2: AI Industry Trends Shaping Career Growth i
Session 3: Elevate Your Technical Presence
Session 4: Empowering Leadership: Strategy, Analysis & Communication 
Session 5: Future Forward: Celebrating Success & Planning Next Steps 

Interested in joining? Don't miss this opportunity to shape your future in AI leadership! Apply now and take the first step towards a transformative mentorship experience. 

#AILeadership #Mentorship #Networking #CareerGrowth #FutureOfAI #ProfessionalDevelopment #KC4I",https://www.linkedin.com/feed/update/urn:li:activity:7310768611978031107,Organic,Talia Standring,2025-03-26,All followers,459,,33,0.071895428,8,2,4,0.102396511
"Exciting News for Our Community!

1️⃣ Go follow our sister page: Knowledge Circles For Impact (KC4I)!
 This is where our #Mentoring & #Networking Committee is focusing their efforts to create meaningful connections and opportunities.

2️⃣ Check out KC4I's AI Leadership and Shaping the Future Program!
 Now accepting applicants - don't miss out on this incredible chance to grow in your career.

This virtual workshop offers valuable insights into #AI, #Leadership, and #IndustryTrends. 🌟

#mentorship #networking #professionaldevelopment #learning #futureleaders #AI",https://www.linkedin.com/feed/update/urn:li:activity:7308584569341952000,Organic,Talia Standring,2025-03-20,All followers,323,,27,0.083591335,6,1,1,0.108359136
"✨𝐌𝐨𝐧𝐝𝐚𝐲 𝐌𝐞𝐦𝐛𝐞𝐫 𝐒𝐩𝐨𝐭𝐥𝐢𝐠𝐡𝐭🔦 

Meet ️Iseabail Lane - Board Member and Co-chair of the Professional Development Committee here! Iseabail is a true advocate for growth, empowerment, and inclusivity in the tech space. Through her leadership in professional development, she’s helping shape the future of women in technology by creating impactful learning opportunities and supporting our community’s ongoing growth. 

 We’re lucky to have her on board, leading the way to a more inclusive and thriving tech community! Let’s continue supporting each other as we rise, evolve, and break new barriers together.

#womenleaders #womenintechnologyhollywood #professionaldevelopment #leadership #leaders #mentorship #encourage #inspire #community #networking #opportunity #WiTHmemberspotlight",https://www.linkedin.com/feed/update/urn:li:activity:7304901650287144961,Organic,Talia Standring,2025-03-10,All followers,322,,12,0.037267081,9,0,2,0.071428575
"🌟 Happy 𝗜𝗻𝘁𝗲𝗿𝗻𝗮𝘁𝗶𝗼𝗻𝗮𝗹 𝗪𝗼𝗺𝗲𝗻’𝘀 𝗗𝗮𝘆! 🌟

Today, 𝗠𝗮𝗿𝗰𝗵 8th, not only do we celebrate International Women’s Day, but we also are reminded its 𝗪𝗼𝗺𝗲𝗻’𝘀 𝗛𝗶𝘀𝘁𝗼𝗿𝘆 𝗠𝗼𝗻𝘁𝗵 - a time to reflect on the incredible achievements of women past, present, and future, and to #celebrate women’s contributions to history, culture, and society. 

We are proud to stand with women who continue to 𝗯𝗿𝗲𝗮𝗸 𝗯𝗮𝗿𝗿𝗶𝗲𝗿𝘀, 𝗰𝗵𝗮𝗹𝗹𝗲𝗻𝗴𝗲 𝗻𝗼𝗿𝗺𝘀, 𝗮𝗻𝗱 𝘀𝗵𝗮𝗽𝗲 𝘁𝗵𝗲 𝗳𝘂𝘁𝘂𝗿𝗲 𝗼𝗳 𝘁𝗲𝗰𝗵𝗻𝗼𝗹𝗼𝗴𝘆. As we reflect on how far we’ve come, we are also focused on the important work ahead: 𝗲𝗺𝗽𝗼𝘄𝗲𝗿𝗶𝗻𝗴 𝘁𝗵𝗲 𝗻𝗲𝘅𝘁 𝗴𝗲𝗻𝗲𝗿𝗮𝘁𝗶𝗼𝗻 𝗼𝗳 𝘄𝗼𝗺𝗲𝗻 𝗹𝗲𝗮𝗱𝗲𝗿𝘀 𝗶𝗻 𝘁𝗲𝗰𝗵

💼Our 𝗣𝗿𝗼𝗳𝗲𝘀𝘀𝗶𝗼𝗻𝗮𝗹 𝗗𝗲𝘃𝗲𝗹𝗼𝗽𝗺𝗲𝗻𝘁 Committee is committed to providing resources and learning opportunities that help women grow their careers, hone their skills, and reach their full potential. 

🌝Through 𝗢𝘂𝘁𝗿𝗲𝗮𝗰𝗵 𝗮𝗻𝗱 𝗖𝗼𝗺𝗺𝘂𝗻𝗶𝗰𝗮𝘁𝗶𝗼𝗻, we aim to share stories, highlight achievements, and amplify the voices of women in tech. By showcasing the success of our members, we create inspiration for young women who may not yet see themselves in this space.  

🌱Our 𝗖𝗼𝗺𝗺𝘂𝗻𝗶𝘁𝘆 𝗘𝗻𝗴𝗮𝗴𝗲𝗺𝗲𝗻𝘁 Committee works tirelessly to foster connections and build a supportive network where women can collaborate, support one another, and elevate each other’s success. 

💻And importantly, our 𝗠𝗲𝗻𝘁𝗼𝗿𝗶𝗻𝗴 Program plays a pivotal role in shaping the leaders of tomorrow. Through mentoring, we’re giving back by passing on knowledge, offering guidance, and creating opportunities for women to thrive in the tech industry.  

Today, let’s not only celebrate the amazing women who have shaped history but also commit to building a future where every woman has the opportunity to lead, innovate, and inspire. 💜 

#IWD2025 #WomensHistoryMonth #WomenInTech #ProfessionalDevelopment #Mentoring #Community #WomenInTechnologyHollywood #Empowerment #Inspiration #GivingBack",https://www.linkedin.com/feed/update/urn:li:activity:7304192330524237824,Organic,Talia Standring,2025-03-08,All followers,396,,13,0.032828283,22,2,3,0.101010099
"Join Innovate@UCLA for an inspiring Women in Technology (WIT) Workshop! 

𝐎𝐯𝐞𝐫𝐜𝐨𝐦𝐢𝐧𝐠 𝐈𝐦𝐩𝐨𝐬𝐭𝐞𝐫 𝐒𝐲𝐧𝐝𝐫𝐨𝐦𝐞 𝐚𝐧𝐝 𝐅𝐢𝐧𝐝𝐢𝐧𝐠 𝐘𝐨𝐮𝐫 𝐕𝐨𝐢𝐜𝐞
🗓𝐖𝐡𝐞𝐧: Tuesday, March 11, 2025 from 12:00 PM - 1:00 PM PST
📍𝐖𝐡𝐞𝐫𝐞: Virtual
‼️ 𝐖𝐡𝐨: Led by industry leaders Cindy McKenzie (Retired CIO, VP & Co-Founder of STEM Advantage) and Melanie Hildebrandt (VP & CIO at Endeavor), 
💻 𝐖𝐡𝐚𝐭: An interactive session providing practical strategies to tackle imposter syndrome and confidently express yourself in meetings.

💡 Open to everyone – members & non-members welcome!
🔗 𝘙𝘚𝘝𝘗: 𝘭𝘪𝘯𝘬 𝘪𝘯 𝘵𝘩𝘦 𝘤𝘰𝘮𝘮𝘦𝘯𝘵𝘴 𝘴𝘦𝘤𝘵𝘪𝘰𝘯 

Let’s empower each other and grow together! ✨
#Innovation #Education #Community #WomenInTech #Leadership #ProfessionalGrowth",https://www.linkedin.com/feed/update/urn:li:activity:7302866690512502784,Organic,Talia Standring,2025-03-05,All followers,400,,27,0.067500003,14,2,2,0.112499997
"We are back with our 𝐌𝐨𝐧𝐝𝐚𝐲 𝐌𝐞𝐦𝐛𝐞𝐫 𝐒𝐩𝐨𝐭𝐥𝐢𝐠𝐡𝐭! 

✨ Please meet ️Karine E. and don't forget to
 #️Follow us to learn more about the members of our incredible team! ✨ 

#womenleaders #womenintechnologyhollywood #professionaldevelopment #leadership #leaders #mentorship #encourage #inspire #community #networking #opportunity #WiTHmemberspotlight",https://www.linkedin.com/feed/update/urn:li:activity:7294871798498635776,Organic,Talia Standring,2025-02-11,All followers,557,,19,0.03411131,24,3,2,0.086175941
"📢We’re on a mission to inspire, empower, and uplift underrepresented individuals in technology through professional development, mentorship, and community engagement. 

Now bringing even more of that energy to #Instagram! 
🎉 Follow us at @𝗪𝗶𝗧𝗛𝗼𝗹𝗹𝘆𝘄𝗼𝗼𝗱𝗜𝗚 for:

💜 Inspiring stories from women in tech
💻 Networking & mentorship opportunities
💜 Event highlights & behind-the-scenes moments
🎬Career growth resources & industry insights

Join our growing community and help us spread the message of Diversity, Equity, Inclusion, Accessibility, and Belonging in tech! 

#WomenInTech #WiTHFoundation #DiversityInTech #InclusionMatters #MediaTech #WiTHollywood #ProfessionalDevelopment #MentoringOpportunnties #Networking #NetworkingEvents ",https://www.linkedin.com/feed/update/urn:li:activity:7293047238698643456,Organic,Talia Standring,2025-02-05,All followers,462,,12,0.025974026,16,2,4,0.073593073
"🎉 Yesterday, some of our incredible volunteers and board members had the honor of supporting and congratulating the amazing graduates of the Codetalk St. Joseph Center program! 

💻 CodeTalk is transforming lives by providing low-income, underserved women with the digital skills and tools needed to launch successful careers in tech.

🌟We're thrilled to witness the hard work, dedication, and growth of these women who are now stepping into a brighter future. It's inspiring to see how the CodeTalk program doesn’t just teach skills—it changes lives by fostering a growth mindset, innovative teaching, and a powerful belief that we are not limited by our circumstances!

💜 Proud to partner with CodeTalk (thank you - Sharon Plunkett & Dr. Ryan J. Smith, EdD) and continue supporting their mission to empower underserved communities. Here's to a future full of opportunity for these talented women and youth! 

Nadya Ichinomiya, April (Cadiente) Schneider, Talia Standring, Roshan Bryan

#WomenInTech #CodeTalk #StJosephCenter #EmpoweringWomen #DigitalSkills #WomenSupportingWomen #NonProfits #CommunityEngagement #WomenInSTEM #GivingBack #CommunitySupport",https://www.linkedin.com/feed/update/urn:li:activity:7291219930379653120,Organic,Talia Standring,2025-01-31,All followers,1392,,232,0.166666672,58,7,3,0.215517238
"Dear community, the devastating fires in Los Angeles have shaken us all. 

Each day, we learn of families and businesses facing unimaginable challenges—evacuating on short notice, leaving behind homes, memories, and livelihoods.

We want you to know you’re not alone. We stand beside those impacted, offering support in any way we can. 

To those who are safe, we encourage you to join us in extending care and compassion to those in need.

In these trying times, we are reminded of the power of community and the strength we draw from one another. 

Together, we will rebuild, recover, and heal.💜",https://www.linkedin.com/feed/update/urn:li:activity:7285139877598244864,Organic,Talia Standring,2025-01-15,All followers,948,,11,0.011603376,31,0,5,0.049578059
"✨ Happy Holidays and a Bright New Year! 🎉

As 2024 comes to a close, we want to extend our warmest wishes to our incredible network. Your passion, innovation, and commitment have been the heart of our community this year.

We're so excited for 2025 and all the opportunities it holds to grow, connect, and inspire one another. Together, we’ll continue to break barriers, foster inclusion, and shape the future of technology.

Here’s to a new year filled with collaboration, success, and even greater impact! 

#WomenInTech #WiTHCommunity #HappyNewYear2025 #Networking #Mentoring #ProfessionalDevelopment #CommunityEngagement #DEI ",https://www.linkedin.com/feed/update/urn:li:activity:7280728135728316416,Organic,Talia Standring,2025-01-02,All followers,662,,50,0.075528704,49,0,0,0.149546832
"The poll is in, and our network has spoken! Looking for more Mentoring/ Mentorship Opportunities? 

Follow our sister page, Knowledge Circles For Impact (KC4I)!  

KC4I is a group mentorship and professional networking program providing career-enhancing opportunities, educational experiences, and empowerment for technologists from underserved communities.

We believe in creating opportunities, fostering innovation, and building a future where diversity in technology thrives. KC4I amplifies this mission by offering a platform for connection, growth, and inspiration.

Stay informed about impactful initiatives and events. Engage with a community of bold, forward-thinking leaders and mentors.

🌟 Let’s create impact together! Follow KC4I today. Together, we can inspire the next generation of technology leaders. 

#KnowledgeCirclesForImpact #WiTH #Mentorship #Mentoring 
",https://www.linkedin.com/feed/update/urn:li:activity:7275649858483507200,Organic,Talia Standring,2024-12-18,All followers,593,,38,0.064080946,14,0,1,0.089376055
"2025 Tech Predictions: The Year of AI Maturity and Cybersecurity Evolution. 

🚀 AI Advancements: A move toward enterprise-focused AI solutions, industry-specific applications, and ethical frameworks that ensure responsible innovation. AI will also enhance automation and operational efficiency across sectors.

🔒 Cybersecurity Evolution: AI-powered threat detection, quantum-safe cryptography, and stricter regulatory frameworks will redefine how organizations protect against rising cyber threats.

☁️ Cloud & Infrastructure: Multi-cloud strategies, edge computing, and sustainable data centers will dominate as businesses prioritize cost efficiency, resilience, and environmental responsibility.

🌍 Broader Impacts: Blockchain will drive supply chain transparency, while shifts in tech talent and geopolitical policies will shape the workforce and global investment trends.

2025 promises to be a year of innovation, resilience, and ethical progress in tech. How do you see these trends impacting your industry? 

Check out the article on our page to read more and subscribe to the WiTHWire - in the comments section below!

#AI #Cybersecurity #CloudComputing #Innovation #TechTrends2025 #DigitalTransformation #WiTHWire ",https://www.linkedin.com/feed/update/urn:li:activity:7274509198434955265,Organic,Talia Standring,2024-12-16,All followers,313,,5,0.015974442,8,2,0,0.047923323
"Hey LinkedIn Community! As the year winds down, we are looking forward to 2025 and all it has to offer. What would you like to see from us in the upcoming year? 💜 #WomeninTech #CareerDevelopment #Mentors #Mentorship #Networking #Community ",https://www.linkedin.com/feed/update/urn:li:activity:7272005808454836224,Organic,Talia Standring,2024-12-09,All followers,331,,14,0.042296074,4,1,1,0.060422961
"✨ A Heartfelt Thank You to Our Sponsors of the 2024 SoCal Women’s Leadership Summit! ✨

Amazon Web Services (AWS)
Ateliere Creative Technologies
Fortinet
Microsoft
Fincons Group
Qvest US
Sony Pictures Entertainment
Point B

We want to take a moment to extend our deepest gratitude to all of our incredible sponsors who made this event possible. Your support is not only invaluable to the success of the summit but also to the continued empowerment of women across industries.

The WiTH Foundation is committed to supporting organizations that deliver community programs and educational opportunities. We'd like to take this opportunity to remind our network that we are always open to donations. Over 90% go directly to the charities we support. More information in the comments! 

#WiTHFoundation #WomenInLeadership #SCWLS2024 #WomenInTech #Empowerment #Leadership #GiveBack",https://www.linkedin.com/feed/update/urn:li:activity:7264332764919803904,Organic,Talia Standring,2024-11-18,All followers,523,,14,0.026768642,17,2,2,0.066921607
"Friday was nothing short of inspiring! ✨ Hundreds gathered at the SoCal Women’s Leadership Summit in Hollywood to connect with and learn from the incredible trailblazers shaping the future of technology.

A huge congratulations to the recipients of the Leadership Award:

- Terri Davies
- Carolyn Giardina
- April (Cadiente) Schneider 
- Melody Hildebrandt

Your achievements are truly deserving of this recognition, and a heartfelt shoutout to all the nominees for the immense contributions you continue to make to your teams and communities. 🌟

A special thank you to our incredible Board and volunteers for organizing such a meaningful event and for providing our community with the opportunity to learn from the best. And a huge thank you to Guy Finley or your unwavering support and contributions to the summit — your honorary award was well-deserved! 🙏

Will be sharing special moments from the event to come. Stay tuned!  📸💜
#Leadership #WomenInTech #Empowerment #Networking #Innovation #WiTHEvent #WomenInLeadership #WomenSupportingWomen #WomenTechLeaders #TechInnovation #SCWLS",https://www.linkedin.com/feed/update/urn:li:activity:7263047187608068096,Organic,Talia Standring,2024-11-14,All followers,1128,,55,0.048758864,65,11,4,0.119680852
"TODAY is The SoCal Women's Leadership Summit! 

Still a chance to sign up and attend - in person or virtually. Link to grab your ticket in the comments section.

Sessions will be ongoing all day. Do not forget to stick around for the Closing Remarks and the reveal of the Leadership Award winner.

Closing Remarks by Guy Finley, Christina Aguilera, and Nadya Ichinomiya
 See you all there! #SCWLS #networking #professionaldevelopment",https://www.linkedin.com/feed/update/urn:li:activity:7260690200903704576,Organic,Talia Standring,2024-11-08,All followers,1142,,40,0.035026271,32,2,3,0.067425571
"💡Excited for Tomorrow’s Session: ""Taking Charge of Your Career: Stepping into Entrepreneurship"" at the SoCal Women’s Leadership Summit! 

Are you feeling unfulfilled in your corporate role? Do you have a passion or vision you’re ready to pursue? Or maybe you're just curious about how to make the leap from employee to entrepreneur? If you’ve been thinking about taking charge of your career and stepping into the world of business ownership, this session is for you! 

Lead by Renee Fraser, Ph.D. and introduced by our very own Nina Skorus-Neely

Join in person or virtually - using the link in the comments section to sign up! #SCWLS #Networking #professionaldevelopment ",https://www.linkedin.com/feed/update/urn:li:activity:7260416337544437760,Organic,Talia Standring,2024-11-07,All followers,468,,18,0.03846154,15,2,1,0.07692308
"🎉 Celebrating 10 Years of WiTH at Tomorrow's “Ask Me Anything: A Decade of Career Journeys” Session! 🎉

As part of the SoCal Women’s Leadership Summit, we are excited to revisit the panel that started it all—our ""Ask Me Anything"" session celebrating a decade of incredible career journeys! 🚀

In this open forum, we’ll hear from inspiring women who have navigated unique paths, overcome challenges, and seized opportunities in their careers. 

Moderator: Christina Aguilera,
Panelists:
🌟 Barbara Bickham
🌟 Christiane Ohlgart
This is more than just a panel—it's a candid, interactive discussion where YOU get to ask the questions and hear firsthand how these women carved their paths to leadership. If you're seeking inspiration, practical advice, or a fresh perspective on your own career journey, don’t miss it!

Tickets here: 
https://lnkd.in/gQwBpxBu

#CareerJourneys #WomenInLeadership #WiTHFoundation #AskMeAnything #LeadershipDevelopment #WomenInTech #WomenInBusiness #CareerGrowth #Inspiration #Mentorship #WiTHSummit #10YearsOfWiTH
",https://www.linkedin.com/feed/update/urn:li:activity:7260415729831718913,Organic,Talia Standring,2024-11-07,All followers,286,,15,0.052447554,11,1,1,0.097902097
"🌟 Tomorrow’s Closing Keynote at the SoCal Women’s Leadership Summit will include the incredible Roberta Matuson, author and thought leader, who will be sharing essential insights on how to successfully navigate the dynamics of leadership - ""Effective Communication with Leadership – Managing Up & Down"" 

Introduced by Belinda Harvey and interviewed by our very own Nadya Ichinomiya.

Tickets are still available, see the comments section for the link!
#WiTH 
#WomenInTech 
#Leadership 
#SCWLS
#ProfessionalDevelopment",https://www.linkedin.com/feed/update/urn:li:activity:7260410047992614912,Organic,Talia Standring,2024-11-07,All followers,298,,7,0.023489933,10,2,2,0.070469797
"Do not miss Olga Krasovski at tomorrow’s SoCal Women’s Leadership Summit! Her the session ""Empowering Innovation: Women Leaders Shaping the Future of Media, Entertainment, and Gaming,"" she will address how we navigate an era of rapid change and innovation in the Telecom, Media & Entertainment, and Gaming industries. From AI advancements to shifts in content creation and consumption, the landscape is evolving faster than ever. 🚀

Tickets are still available! Use the link in the comments section to learn more. 

#Leadership #Networking #SCWLS #WiTH #ProfessionalDevelopment",https://www.linkedin.com/feed/update/urn:li:activity:7260407364082688000,Organic,Talia Standring,2024-11-07,All followers,269,,14,0.052044611,12,1,1,0.104089223
"Only one day left until the SoCal Women's Leadership Summit! 

Hear from an incredible group of speakers and learn about the transformative journeys of women who have benefited from WiTH-supported nonprofits and how their lives and careers have been impacted.

""Lasting Impact: Empowering the WiTH Community,"" includes these amazing panelists: Frejya Lindh-Hernandez, Christen Hockaday, Madison Ma, Han Pham, Alyssa Rubalcava, moderated by our very own April (Cadiente) Schneider. See you there! Link to grab your ticket in the comments. 

#WiTH #WomenInTech #Leadership #SCWLS",https://www.linkedin.com/feed/update/urn:li:activity:7260390325003694080,Organic,Talia Standring,2024-11-07,All followers,369,,22,0.059620596,15,3,1,0.111111112
